run_accession	study_accession	experiment_accession	sample_accession	experiment_title	center_name	base_count	read_count	tax_id	library_strategy	library_selection	host	host_scientific_name	host_status	dev_stage	fastq_ftp
ERR4647686	PRJEB40568	ERX4571396	SAMEA7368151	NextSeq 500 paired end sequencing	IFREMER	3671087432	48303782	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/006/ERR4647686/ERR4647686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/006/ERR4647686/ERR4647686_2.fastq.gz
ERR4647689	PRJEB40568	ERX4571399	SAMEA7368154	NextSeq 500 paired end sequencing	IFREMER	4172712360	54904110	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/009/ERR4647689/ERR4647689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/009/ERR4647689/ERR4647689_2.fastq.gz
ERR4647690	PRJEB40568	ERX4571400	SAMEA7368155	NextSeq 500 paired end sequencing	IFREMER	4390097440	57764440	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/000/ERR4647690/ERR4647690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/000/ERR4647690/ERR4647690_2.fastq.gz
ERR4647682	PRJEB40568	ERX4571392	SAMEA7368147	NextSeq 500 paired end sequencing	IFREMER	6037821976	79445026	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/002/ERR4647682/ERR4647682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/002/ERR4647682/ERR4647682_2.fastq.gz
ERR4647683	PRJEB40568	ERX4571393	SAMEA7368148	NextSeq 500 paired end sequencing	IFREMER	5188241840	68266340	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/003/ERR4647683/ERR4647683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/003/ERR4647683/ERR4647683_2.fastq.gz
SRR3111516	PRJNA294263	SRX1539755	SAMN04313619	Illumina HiSeq 2500 paired end sequencing		8647073994	42807297	6279	RNA-Seq	cDNA				L3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/006/SRR3111516/SRR3111516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/006/SRR3111516/SRR3111516_2.fastq.gz
SRR3111577	PRJNA294263	SRX1539817	SAMN04313623	Illumina HiSeq 2500 paired end sequencing		8509297470	42125235	6279	RNA-Seq	cDNA				L3/L4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/007/SRR3111577/SRR3111577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/007/SRR3111577/SRR3111577_2.fastq.gz
SRR3111644	PRJNA294263	SRX1539875	SAMN04313634	Illumina HiSeq 2500 paired end sequencing		2027534600	10037300	6279	RNA-Seq	cDNA				MF	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/004/SRR3111644/SRR3111644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/004/SRR3111644/SRR3111644_2.fastq.gz
SRR3111645	PRJNA294263	SRX1539874	SAMN04313634	Illumina HiSeq 2500 paired end sequencing		1007393998	4987099	6279	RNA-Seq	cDNA				MF	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/005/SRR3111645/SRR3111645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/005/SRR3111645/SRR3111645_2.fastq.gz
SRR3111736	PRJNA294263	SRX1539954	SAMN04313642	Illumina HiSeq 2500 paired end sequencing		14845280374	73491487	6279	RNA-Seq	cDNA				L3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/006/SRR3111736/SRR3111736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/006/SRR3111736/SRR3111736_2.fastq.gz
SRR2954996	PRJNA303986	SRX1447463	SAMN04292698	GSM1953605: IVM2T2A_study2; Brugia malayi; RNA-Seq;Illumina MiSeq sequencing; GSM1953605: IVM2T2A_study2; Brugia malayi; RNA-Seq	GEO	198690069	1335446	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954996/SRR2954996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954996/SRR2954996_2.fastq.gz
SRR2955001	PRJNA303986	SRX1447468	SAMN04292727	Illumina MiSeq sequencing; GSM1953610: CTRLT3C_study2; Brugia malayi; RNA-Seq;GSM1953610: CTRLT3C_study2; Brugia malayi; RNA-Seq	GEO	219769865	1474886	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2955001/SRR2955001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2955001/SRR2955001_2.fastq.gz
SRR2954987	PRJNA303986	SRX1447454	SAMN04292722	GSM1953596: T1A_study2; Brugia malayi; RNA-Seq;Illumina MiSeq sequencing; GSM1953596: T1A_study2; Brugia malayi; RNA-Seq	GEO	244989893	1644009	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954987/SRR2954987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954987/SRR2954987_2.fastq.gz
SRR2954988	PRJNA303986	SRX1447455	SAMN04292723	GSM1953597: T1B_study2; Brugia malayi; RNA-Seq;Illumina MiSeq sequencing; GSM1953597: T1B_study2; Brugia malayi; RNA-Seq	GEO	278734621	1870981	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954988/SRR2954988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954988/SRR2954988_2.fastq.gz
