run_accession	experiment_title	experiment_accession	center_name	tax_id	library_strategy
ERR103049	Illumina HiSeq 2000 paired end sequencing	ERX080485	SC	6183	WGS
ERR103050	Illumina HiSeq 2000 paired end sequencing	ERX080486	SC	6183	WGS
ERR562989	Illumina HiSeq 2000 paired end sequencing	ERX522014	SC	6183	WGS
ERR676582	Illumina MiSeq paired end sequencing	ERX631549	SC	6183	WGS
SRR13716338	Genome of Schistosoma mansoni: pool of males with enriched sensitive allele to praziquantel;HiSeq X Ten sequencing; Genome of Schistosoma mansoni: pool of males with enriched sensitive allele to praziquantel	SRX10104930	SUB9029076	6183	WGS
SRR13716341	Genome of Schistosoma mansoni: pool of females with enriched sensitive allele to praziquantel;HiSeq X Ten sequencing; Genome of Schistosoma mansoni: pool of females with enriched sensitive allele to praziquantel	SRX10104927	SUB9029076	6183	WGS
SRR13716345	Genome of Schistosoma mansoni: pool of females with enriched resistant allele to praziquantel;HiSeq X Ten sequencing; Genome of Schistosoma mansoni: pool of females with enriched resistant allele to praziquantel	SRX10104923	SUB9029076	6183	WGS
SRR13716347	Genome of Schistosoma mansoni: pool of males with enriched sensitive allele to praziquantel;HiSeq X Ten sequencing; Genome of Schistosoma mansoni: pool of males with enriched sensitive allele to praziquantel	SRX10104921	SUB9029076	6183	WGS
SRR13716348	Genome of Schistosoma mansoni: pool of females with enriched resistant allele to praziquantel;HiSeq X Ten sequencing; Genome of Schistosoma mansoni: pool of females with enriched resistant allele to praziquantel	SRX10104920	SUB9029076	6183	WGS
SRR2533571	Illumina HiSeq 2500 paired end sequencing; Pool-Seq on cercariae of S.mansoni SmBRE from sympatric snail hosts;Pool-Seq on cercariae of S.mansoni SmBRE from sympatric snail hosts	SRX1292231		6183	WGS
SRR2533572	Illumina HiSeq 2500 paired end sequencing; Pool-Seq on cercariae of S.mansoni SmBRE from allopatric snail hosts;Pool-Seq on cercariae of S.mansoni SmBRE from allopatric snail hosts	SRX1292232		6183	WGS
SRR616967	Illumina HiSeq 2000 paired end sequencing; S. mansoni strain BRE genomic DNA sequencing;S. mansoni strain BRE genomic DNA sequencing	SRX196241	University of Perpignan	6183	WGS
SRR617176	Illumina HiSeq 2000 paired end sequencing; S. mansoni strain BRE genomic DNA sequencing;S. mansoni strain BRE genomic DNA sequencing	SRX196241	University of Perpignan	6183	WGS
SRR647744	Illumina HiSeq 2000 paired end sequencing; S. mansoni strain GH2 genomic DNA sequencing;S. mansoni strain GH2 genomic DNA sequencing	SRX212154	University of Perpignan	6183	WGS
ERR021966	Illumina Genome Analyzer II paired end sequencing	ERX008534	SC	6183	WGS
ERR021968	Illumina Genome Analyzer II paired end sequencing	ERX008531	SC	6183	WGS
ERR021969	Illumina Genome Analyzer II paired end sequencing	ERX008533	SC	6183	WGS
ERR021971	Illumina Genome Analyzer II paired end sequencing	ERX008532	SC	6183	WGS
ERR022238	Illumina Genome Analyzer II paired end sequencing	ERX008692	SC	6183	WGS
ERR022239	Illumina Genome Analyzer II paired end sequencing	ERX008696	SC	6183	WGS
ERR022240	Illumina Genome Analyzer II paired end sequencing	ERX008693	SC	6183	WGS
ERR022242	Illumina Genome Analyzer II paired end sequencing	ERX008694	SC	6183	WGS
ERR022243	Illumina Genome Analyzer II paired end sequencing	ERX008695	SC	6183	WGS
ERR026881	Illumina Genome Analyzer II paired end sequencing	ERX009900	SC	6183	WGS
ERR026882	Illumina Genome Analyzer II paired end sequencing	ERX2004858	SC	6183	WGS
ERR026884	Illumina Genome Analyzer II paired end sequencing	ERX2004868	SC	6183	WGS
ERR026888	Illumina Genome Analyzer II paired end sequencing	ERX2004861	SC	6183	WGS
ERR026889	Illumina Genome Analyzer II paired end sequencing	ERX2004862	SC	6183	WGS
ERR026891	Illumina Genome Analyzer II paired end sequencing	ERX2004864	SC	6183	WGS
ERR031494	Illumina Genome Analyzer II paired end sequencing	ERX1998360	SC	6183	WGS
ERR031495	Illumina Genome Analyzer II paired end sequencing	ERX1998369	SC	6183	WGS
ERR031499	Illumina Genome Analyzer II paired end sequencing	ERX1998362	SC	6183	WGS
ERR031500	Illumina Genome Analyzer II paired end sequencing	ERX1998363	SC	6183	WGS
ERR031501	Illumina Genome Analyzer II paired end sequencing	ERX1998364	SC	6183	WGS
ERR031502	Illumina Genome Analyzer II paired end sequencing	ERX1998365	SC	6183	WGS
ERR031503	Illumina Genome Analyzer II paired end sequencing	ERX1998366	SC	6183	WGS
ERR031505	Illumina Genome Analyzer II paired end sequencing	ERX1998368	SC	6183	WGS
ERR037212	Illumina Genome Analyzer II paired end sequencing	ERX014752	SC	6183	WGS
ERR266714	Illumina HiSeq 2000 paired end sequencing	ERX241210	SC	6183	WGS
ERR266715	Illumina HiSeq 2000 paired end sequencing	ERX241211	SC	6183	WGS
ERR2720928	Illumina MiSeq paired end sequencing	ERX2734801	SC	6183	WGS
ERR2720929	Illumina MiSeq paired end sequencing	ERX2734802	SC	6183	WGS
ERR2720930	Illumina MiSeq paired end sequencing	ERX2734803	SC	6183	WGS
ERR2720932	Illumina MiSeq paired end sequencing	ERX2734805	SC	6183	WGS
ERR2720940	Illumina MiSeq paired end sequencing	ERX2734813	SC	6183	WGS
ERR2720942	Illumina MiSeq paired end sequencing	ERX2734815	SC	6183	WGS
ERR2720943	Illumina MiSeq paired end sequencing	ERX2734816	SC	6183	WGS
ERR2720944	Illumina MiSeq paired end sequencing	ERX2734817	SC	6183	WGS
ERR2720945	Illumina MiSeq paired end sequencing	ERX2734818	SC	6183	WGS
ERR2720947	Illumina MiSeq paired end sequencing	ERX2734820	SC	6183	WGS
ERR2720949	Illumina MiSeq paired end sequencing	ERX2734822	SC	6183	WGS
ERR2720950	Illumina MiSeq paired end sequencing	ERX2734823	SC	6183	WGS
ERR2720952	Illumina MiSeq paired end sequencing	ERX2734825	SC	6183	WGS
ERR2720954	Illumina MiSeq paired end sequencing	ERX2734827	SC	6183	WGS
ERR2720956	Illumina MiSeq paired end sequencing	ERX2734829	SC	6183	WGS
ERR3173042	HiSeq X Ten paired end sequencing	ERX3200976	SC	6183	WGS
ERR3173046	HiSeq X Ten paired end sequencing	ERX3200980	SC	6183	WGS
ERR3173053	HiSeq X Ten paired end sequencing	ERX3200987	SC	6183	WGS
ERR3173056	HiSeq X Ten paired end sequencing	ERX3200990	SC	6183	WGS
ERR3173068	HiSeq X Ten paired end sequencing	ERX3201002	SC	6183	WGS
ERR3173073	HiSeq X Ten paired end sequencing	ERX3201007	SC	6183	WGS
ERR3173074	HiSeq X Ten paired end sequencing	ERX3201008	SC	6183	WGS
ERR3173077	HiSeq X Ten paired end sequencing	ERX3201011	SC	6183	WGS
ERR3173081	HiSeq X Ten paired end sequencing	ERX3201015	SC	6183	WGS
ERR3173092	HiSeq X Ten paired end sequencing	ERX3201026	SC	6183	WGS
ERR3173094	HiSeq X Ten paired end sequencing	ERX3201028	SC	6183	WGS
ERR3173096	HiSeq X Ten paired end sequencing	ERX3201030	SC	6183	WGS
ERR3173099	HiSeq X Ten paired end sequencing	ERX3201033	SC	6183	WGS
ERR3173101	HiSeq X Ten paired end sequencing	ERX3201035	SC	6183	WGS
ERR3173103	HiSeq X Ten paired end sequencing	ERX3201037	SC	6183	WGS
ERR3173104	HiSeq X Ten paired end sequencing	ERX3201038	SC	6183	WGS
ERR3173105	HiSeq X Ten paired end sequencing	ERX3201039	SC	6183	WGS
ERR3173106	HiSeq X Ten paired end sequencing	ERX3201040	SC	6183	WGS
